mu_g;sdmu_g;survival_scalar1;init_asoc;init_amat;sdmu_b;init_agen;sdmu_a;mu_dp;np;gmax;bmin;amin;nc;amax;sigmoidal_survival;mu_agen;bmax;seed;mu_asoc;init_bmat_phen;sdsoc;survival_scalar0;qmat;qjuv;gmin;init_dp;mu_bmat_envt;mu_bmat_phen;init_ajuv;nloci_g;mu_ajuv;p;mu_dc;sdmat;init_dc;init_g;m;mu_amat;init_bmat_envt;laplace;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.01;0.25;0;0;0;0.25;0;0.02;0.01;10;1;-10;0;10;8;0;0.01;10;105967862;0.01;0;0.05;0.8;0.9;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.509627;0.507653;0.076733;0.0680636;0.0958602;0.115551;0.472034;1.31343;-6.17037;-6.10136;-0.357856;2607.75;2607.29;85.2661;70.6455;40000;185.369;101398;100408;440820;435671;7234.44;0.5;0.789347;0.808803;0.000730648;0.000655668;./sim_cue_integration_17_8_2019_230647_120770551
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;105331477;0.01;0;0.05;0.8;0.9;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.529462;0.501745;0.544981;0.0264795;1.49441;0.725134;-7.58813;3.01719;-0.752964;-8.18202;-1.8758;3173.82;2882.63;3007.87;12.572;39997.8;5373.84;594574;105402;171210;683302;14105.8;0.5325;0.840044;0.848897;0.0167803;0.016824;./sim_cue_integration_17_8_2019_230647_124505198
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;109835756;0.01;0;0.05;0.8;0.9;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.515614;0.50835;0.534428;0.0289152;1.46295;0.759853;-7.8913;3.53513;3.9158;-8.28354;-1.89731;3024.81;2966.2;2897.9;14.4928;39997.9;5929.88;641350;143455;218414;696295;14430.4;0.495;0.827011;0.844999;0.0205555;0.0180907;./sim_cue_integration_17_8_2019_230647_124866376
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;113786797;0.01;0;0.05;0.8;1;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.513398;0.51366;0.0949673;0.0717797;0.120104;0.093047;-3.69855;3.67682;-1.07766;0.542251;-0.531681;2649.09;2652;126.769;76.1708;40000;123.206;273552;180945;110265;158826;7565.16;0.515;0.788466;0.810323;0.000917777;0.00084952;./sim_cue_integration_17_8_2019_230647_128286142
0.01;0.25;0;0;0;0.25;0;0.02;0.01;10;1;-10;0;10;8;0;0.01;10;104108267;0.01;0;0.05;0.8;1;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.510131;0.512045;0.0972855;0.0711975;0.0987107;0.119184;4.16528;-2.13375;-7.05464;-0.42321;-0.43218;2615.33;2659.86;125.891;75.2929;40000;178.653;283322;113893;535346;192868;7133.7;0.52;0.790647;0.806677;0.000907212;0.000842087;./sim_cue_integration_17_8_2019_230647_126088786
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;109497268;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.510168;0.508528;0.100296;0.06825;0.0760447;0.0990055;-3.0768;-2.12885;-0.834336;1.89861;-0.465066;2614.62;2598.36;140.815;68.2078;40000;135.051;164550;109399;138412;200698;7330.31;0.4775;0.790847;0.806884;0.000803394;0.000751612;./sim_cue_integration_17_8_2019_230647_126734119
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;111979195;0.01;0;0.05;0.8;1;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.517969;0.518467;0.360307;0.0738308;1.20754;0.113471;-3.34261;6.84397;0.284278;-6.57426;-1.62203;2913.58;2916.9;1341.81;81.6587;39998.5;186.749;202683;504709;171110;473484;12027;0.475;0.801575;0.825761;0.0143412;0.0125782;./sim_cue_integration_17_8_2019_230647_127446189
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;112502695;0.01;0;0.05;0.8;1;1;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.514706;0.51816;0.530364;0.0309452;1.95941;0.149436;-3.23527;7.56298;-0.571623;-7.00893;-1.85955;3159.51;3190.43;2859.72;17.164;39996.2;281.047;187366;601469;144475;523571;14118;0.4975;0.832475;0.855526;0.0267484;0.0231451;./sim_cue_integration_17_8_2019_230647_128156726
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;113967934;0.01;0;0.05;0.8;0.9;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.512851;0.513806;0.0944659;0.0807662;0.0845572;0.0994501;-1.62726;2.77487;1.40388;-2.87395;-0.425084;2642.61;2652.66;116.956;90.9716;40000;133.051;234884;207774;202385;217966;7072.92;0.575;0.788675;0.808996;0.000858318;0.000761196;./sim_cue_integration_17_8_2019_230647_128397292
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;110042479;0.01;0;0.05;0.8;0.9;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.497765;0.51171;0.567051;0.0710888;1.3298;0.921544;-7.34745;4.47684;3.8569;-8.41787;-1.87529;2853.71;2993.35;3258.58;74.2308;39998.2;8687.82;565257;231087;243864;722681;14167.9;0.4475;0.836127;0.833472;0.0184685;0.0188626;./sim_cue_integration_17_8_2019_230647_128849615
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;110334185;0.01;0;0.05;0.8;1;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.510875;0.510285;0.10234;0.0658903;0.0904285;0.0865465;-4.00306;0.493996;3.99485;-3.0861;-0.42075;2622.11;2616.78;149.02;63.9732;40000;106.313;236154;118739;222759;189573;7128.64;0.48;0.790727;0.807491;0.000829211;0.000803616;./sim_cue_integration_17_8_2019_230647_129614978
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;112502134;0.01;0;0.05;0.8;0.9;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.49526;0.532902;0.637376;0.0943193;0.414457;2.2807;-2.33073;6.35102;1.17681;-8.70608;-1.96748;3003.5;3512.74;4102.13;124.665;39999.8;52165.8;136831;432079;96992.4;765270;15083.9;0.475;0.840865;0.859692;0.0270543;0.0237008;./sim_cue_integration_17_8_2019_230647_129580551
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;113063805;0.01;0;0.05;0.8;0.9;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.530299;0.484711;0.469041;0.0422775;0.586114;1.26455;-3.96408;5.59551;-0.671571;-8.96788;-1.84161;3017.35;2603.51;2240.61;29.0081;39999.7;16143.2;295939;345326;74854.7;807965;13922.6;0.52;0.818319;0.815515;0.011491;0.0116648;./sim_cue_integration_17_8_2019_230647_130051200
