"sigmoidal_survival";"laplace";"p";"qmat";"qjuv";"nloci_g";"init_g";"init_aintercept";"init_ajuv";"init_agen";"init_bmat_phen";"init_bmat_envt";"init_hp";"init_hc";"init_vp";"init_vc";"gmin";"gmax";"amin";"amax";"bmin";"bmax";"mu_g";"sdmu_g";"mu_ajuv";"mu_agen";"mu_aintercept";"juvenile_survival";"mu_bmat_phen";"mu_bmat_envt";"mu_vc";"mu_vp";"mu_hc";"mu_hp";"sdmu_a";"sdmu_b";"m";"nph";"nch";"npv";"ncv";"survival_scalar0";"survival_scalar1";"seed";"generation";"mean_phen_ad";"mean_phen_juv";"mean_phen_prestige_vert";"mean_phen_prestige_horiz";"mean_aintercept";"mean_agen";"mean_ajuv";"mean_bmat_phen";"mean_bmat_envt";"mean_hc";"mean_hp";"mean_vc";"mean_vp";"mean_g";"var_phen_ad";"var_phen_juv";"var_phen_prestige_vert";"var_phen_prestige_horiz";"var_aintercept";"var_agen";"var_ajuv";"var_bmat_phen";"var_bmat_envt";"var_hc";"var_hp";"var_vc";"var_vp";"var_g";"freq_high";"mean_surv0";"mean_surv1";"var_surv0";"var_surv1";"Unnamed..34";"eta2_agen_X_g";"eta2_aintercept";"eta2_ajuv_X_cue_juv_envt_high";"eta2_bmat_envt_X_maternal_envt_cue_eror";"eta2_bmat_phen_X_phen_mat_error";"eta2_hc_X_xconformist_horiz_error";"eta2_hp_X_phen_prestige_horiz_error";"eta2_vc_X_xconformist_vert_error";"eta2_vp_X_phen_prestige_vert_error";"var_phen_ad.1";"var_phen_ad_logistic";"var_phen_juv.1";"var_phen_juv_logistic";"file";"adult_survival"
0;1;0.448;0.5;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;1;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;4121387184;75000;0.485002;0.485002;0.49853;0.480055;-0.00474174;0.0214236;1.19333;0.00574425;0.00119558;0;0;0;0;0.0606256;0.0229027;0.0229027;0.025121;0.0382572;0.00365399;0.00386284;0.0105582;0.424859;0.0910377;0;0;0;0;0.646464;0.465;0.774325;0.782288;0.0146854;0.014987;NA;0.00720995417346528;0.0092781618780678;0.901133972084452;0.0577635807560459;0.0246143311017108;0;0;0;0;0.0229033628217663;0.400580977526348;0.0229033628217663;0.400580977526348;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_215.csv";1
0;1;1;0.5;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;2071994120;75000;0.512404;0.512404;0.512228;0.512848;0.053296;0.0268199;3.7382;2.36463;0.0770835;0;0;0;0;-0.0297324;0.194583;0.194583;0.219648;0.219381;0.0191321;0.0236546;0.0331158;0.441178;0.501247;0;0;0;0;0.710228;0.5125;0.958522;0.961826;0.0248107;0.022784;NA;0.0212165897975881;0.023216994919965;0.597595143260813;0.154426703140309;0.203544568866087;0;0;0;0;0.194587978712421;8.71597639028196;0.194587978712421;8.71597639028196;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_470.csv";1
0;1;0.759;1;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;2694599063;75000;0.504184;0.505208;0.507985;0.508324;0.0196075;0.0181928;0.609413;-0.915006;0.256182;0.0816725;3.09072;0.0624169;-0.0118336;0.236388;0.0424965;0.0122434;0.0670709;0.0290737;0.00925137;0.00786965;0.0104717;0.332526;0.135633;0.17943;0.60499;0.160608;0.33511;0.632968;0.5075;0.836432;0.8405;0.0217458;0.0205077;NA;0.0176590695098766;0.0285254869435238;0.0927943100328093;0.12043687085785;0.105433796717709;0.139392639357302;0.301237852806867;0.124503998832182;0.0700159749278809;0.0424975241426197;0.861660784647794;0.0122436911655561;0.214111590530734;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_848.csv";1
0;1;0.759;0.5;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;1;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;1504213859;75000;0.514177;0.529944;0.513782;0.529207;0.0140627;0.00083432;5.24;-0.4271;0.00833151;0.120874;-4.1775;0.026489;0.560761;0.0896171;0.0502474;0.188728;0.0798125;0.207823;0.00655968;0.0110315;0.0149757;0.440735;0.140755;0.173057;0.179831;0.140279;0.322857;0.680023;0.535;0.848661;0.844104;0.024846;0.0256285;NA;0.00823261012768846;0.00703802318369073;0.513251875772368;0.0378984071708844;0.0280048333473189;0.0468858575466717;0.284079583994496;0.0378080988430959;0.0368007100046516;0.0502486781473106;1.28073442329146;0.188733042568071;7.51753755181184;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_841.csv";1
0;1;0.103;1;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;1;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;561218896;75000;0.497525;0.497525;0.495391;0.49716;-0.00881607;0.00259334;0.222562;0.618801;-0.100897;0;0;0;0;-0.0944189;0.00289122;0.00289122;0.00185895;0.00710147;0.00277134;0.0043353;0.00857697;0.66677;0.0751058;0;0;0;0;0.586371;0.5025;0.779319;0.77285;0.00154393;0.00146501;NA;0.0659945423653183;0.0693422426303671;0.324938981651722;0.478427307739211;0.0612969256080349;0;0;0;0;0.00289130581998418;0.0472610458179676;0.00289130581998418;0.0472610458179676;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_543.csv";1
0;1;0.724;0.5;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;1;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;2143014978;75000;0.505978;0.505978;0.498999;0.506447;0.00715182;0.00967614;2.37876;-0.0254372;-0.0408797;0;0;0;0;-0.0633794;0.0724669;0.0724669;0.0868072;0.0982607;0.00606351;0.00720303;0.00983655;0.23923;0.138718;0;0;0;0;0.672522;0.4975;0.849454;0.84308;0.0344202;0.0353468;NA;0.00338497074778887;0.00410187677602001;0.957282104703556;0.0237272325434084;0.011503815223257;0;0;0;0;0.0724688347669528;1.50361329257814;0.0724688347669528;1.50361329257814;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_823.csv";1
0;1;0.138;0.5;0.5;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;2104383634;75000;0.496939;0.496939;0.50135;0.501306;-0.0174163;-0.0225725;0.00827475;-3.0396;0.0025404;0;0;0;0;0.00965904;0.00773278;0.00773278;0.0178106;0.0109815;0.00800009;0.00758095;0.00829562;1.04965;0.137218;0;0;0;0;0.655654;0.505;0.802508;0.797006;0.00484385;0.0050246;NA;0.0356891823102543;0.0545513800946494;0.0143728600443165;0.235665405835451;0.659721171706774;0;0;0;0;0.00773297442617542;0.138005305191556;0.00773297442617542;0.138005305191556;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_546.csv";1
0;1;0.103;1;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;1;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.25;0.1;5;5;5;5;0.8;0;2184483413;75000;0.527103;0.468065;0.474762;0.464449;0.0084723;0.00590553;3.99602;1.24073;3.96149;-0.209321;-9.37787;0.323221;5.36668;-0.0207385;0.116165;0.187261;0.156387;0.2138;0.00835621;0.0150257;0.0162759;0.397272;0.204479;0.274169;0.153401;0.279681;0.308037;0.662913;0.5625;0.901543;0.900734;0.0332812;0.0342201;NA;0.00484798787718848;0.00415316563685551;0.108505881965368;0.0948466458696458;0.0264529407499746;0.0347313686296286;0.614378683371268;0.0352492363751649;0.0768340895144815;0.11616818246753;3.97026266536096;0.187265905395596;7.87019101647838;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_65.csv";1
0;1;0;0.5;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;2398525979;75000;0.493774;0.493774;0.505849;0.493791;-0.0298218;-0.107223;-3.92584;-2.41863;-0.085937;0;0;0;0;-0.112673;0.19885;0.19885;0.224551;0.170647;0.01435;0.0337205;0.0240822;0.718499;0.564096;0;0;0;0;0.663035;0.495;0.95945;0.959931;0.0248386;0.0245312;NA;0.0276891296424331;0.0130423729215415;0.615219652547883;0.129849963055176;0.214198881821329;0;0;0;0;0.198854824432517;9.51882989790938;0.198854824432517;9.51882989790938;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_6.csv";1
0;1;0.552;1;1;3;0;0;0;0;0;0;0;0;0;0;-1;1;-10;10;-10;10;0.01;0.25;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0;0.02;0.25;0.1;5;5;5;5;0.8;0;1237379438;75000;0.500042;0.500042;0.498421;0.497565;0.00441554;0.0188843;0.239738;-0.250702;0.0156768;0;0;0;0;-0.0186166;0.0037802;0.0037802;0.00655281;0.00919987;0.00390216;0.00659112;0.00809112;1.3089;0.130218;0;0;0;0;0.655911;0.4925;0.797318;0.800178;0.00247586;0.00235306;NA;0.0726707526117135;0.0621543865535629;0.260615069776095;0.519523008763602;0.0850367822906738;0;0;0;0;0.00378029032618192;0.0624186705059489;0.00378029032618192;0.0624186705059489;"batch_juv_sel/hpcbatch_29_04_2020_143718/sim_cue_integration_29_04_2020_143705_270.csv";1
