laplace;bmax;init_agen;qjuv;init_g;init_hp;gmax;sigmoidal_survival;gmin;init_amat;mu_hc;mu_bmat_phen;ncv;init_asoc_vert;init_hc;init_ajuv;sdsoc_horiz;init_vp;mu_hp;seed;nch;nph;sdmu_a;init_bmat_phen;mu_amat;mu_g;mu_agen;qmat;init_bmat_envt;npv;sdmu_g;p;sdsoc_vert;mu_asoc_horiz;survival_scalar1;bmin;amax;mu_vp;init_vc;mu_bmat_envt;nloci_g;init_asoc_horiz;mu_asoc_vert;sdmu_b;mu_ajuv;m;mu_vc;sdmat;survival_scalar0;amin;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_agen_ajuv;file
1;10;0;0.5;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;727200261;0;0;0.02;0;0.01;0.01;0.01;1;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.519511;0.519511;0;0;0.547201;0.0944124;1.78346;0;0;2.20517;7.44639;0;0;0;0;-1.61654;0.0479909;0.0479909;0;0;0.00443156;0.00287908;39996.8;0;0;7.67713;1.61197;0;0;0;0;0.307958;0.515;0.827484;0.857516;0.0260617;0.0207724;0.106051;0.00377115;0.739113;0.804282;0.104366;0.123035;0.0258566;0.0269189;0.00419646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00205621;./sim_cue_integration_30_10_2019_232914_695728950
1;10;0;0.5;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;359135479;0;0;0.02;0;0.01;0.01;0.01;1;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.505035;0.505035;0;0;0.570929;0.101052;1.91081;0;0;4.2379;6.45197;0;0;0;0;-1.70382;0.054127;0.054127;0;0;0.0041096;0.0030562;39996.3;0;0;4.50215;2.24103;0;0;0;0;0.280465;0.45;0.838781;0.874461;0.0277281;0.0201979;0.105475;0.00399285;0.848576;0.916512;0.219447;0.309433;0.0316481;0.0327814;0.0115828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00276734;./sim_cue_integration_30_10_2019_232914_326064386
1;10;0;1;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1799226434;0;0;0.02;0;0.01;0.01;0.01;0.5;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.501159;0.501159;0;0;0.636135;2.40316;0.081266;0;0;4.61292;-5.66907;0;0;0;0;-1.87802;0.076958;0.076958;0;0;0.00407046;0.0141891;40000;0;0;5.80455;9.01866;0;0;0;0;0.215615;0.4925;0.871891;0.874055;0.0305349;0.0302705;0.103019;1.43605;0.00292109;0.00311067;0.00163152;0.000848263;-0.001944;-0.00219668;0.000592339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00267085;./sim_cue_integration_30_10_2019_233414_1657161438
1;10;0;1;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1432112919;0;0;0.02;0;0.01;0.01;0.01;0.5;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.507027;0.507027;0;0;0.689562;2.59182;0.0979361;0;0;6.31258;-0.730351;0;0;0;0;-1.87545;0.0872749;0.0872749;0;0;0.00333056;0.0140929;40000;0;0;4.87381;2.50826;0;0;0;0;0.20544;0.5225;0.875741;0.917005;0.0340044;0.0200919;0.110306;1.6861;0.00265399;0.00202875;0.00270035;0.000939233;0.000719297;-0.000731005;0.00136667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00251793;./sim_cue_integration_30_10_2019_233414_1388525962
1;10;0;0.9;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1631619888;0;0;0.02;0;0.01;0.01;0.01;0.6;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.530507;0.530507;0;0;0.730345;1.82531;0.993919;0;0;8.42438;0.449827;0;0;0;0;-1.8813;0.0737963;0.0737963;0;0;0.00493881;0.0162894;39999;0;0;0.710954;0.483218;0;0;0;0;0.214562;0.5625;0.872711;0.875088;0.0258068;0.026139;0.133429;0.840794;0.15282;0.0384788;0.153613;0.0165767;0.0339068;-0.000207317;0.0359933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0163476;./sim_cue_integration_30_10_2019_233444_1410499401
1;10;0;0.9;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;1512280974;0;0;0.02;0;0.01;0.01;0.01;0.6;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.514754;0.514754;0;0;0.617188;1.66588;0.775255;0;0;8.84024;0.575475;0;0;0;0;-1.88061;0.0598968;0.0598968;0;0;0.00418034;0.0130773;39999.4;0;0;0.58754;0.590851;0;0;0;0;0.216391;0.5075;0.850263;0.868305;0.026299;0.0229468;0.0993321;0.699832;0.0914292;0.0298291;0.0928341;0.0102887;0.0297841;0.00521572;0.0298002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00661199;./sim_cue_integration_30_10_2019_233513_1559583520
1;10;0;0.8;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;349647421;0;0;0.02;0;0.01;0.01;0.01;0.7;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.5044;0.5044;0;0;0.70069;1.3483;1.4331;0;0;8.9984;0.790743;0;0;0;0;-1.93659;0.0598479;0.0598479;0;0;0.00340319;0.0104839;39997.9;0;0;0.419067;0.34162;0;0;0;0;0.209942;0.4825;0.850797;0.85552;0.0249112;0.025033;0.119162;0.459688;0.301815;0.101238;0.28658;0.0476173;0.0886781;0.0219446;0.0847501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0196788;./sim_cue_integration_30_10_2019_233529_400607515
1;10;0;0.8;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;973579596;0;0;0.02;0;0.01;0.01;0.01;0.7;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.49476;0.49476;0;0;0.643849;1.22422;1.20083;0;0;9.22751;0.929075;0;0;0;0;-1.89296;0.048677;0.048677;0;0;0.00497565;0.00914035;39998.6;0;0;0.276055;0.388669;0;0;0;0;0.22695;0.475;0.837211;0.838365;0.0230754;0.0229359;0.114337;0.380338;0.202785;0.0880114;0.187166;0.0340347;0.057033;0.00947651;0.0581889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0138941;./sim_cue_integration_30_10_2019_235543_928850722
1;10;0;0.7;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;806975755;0;0;0.02;0;0.01;0.01;0.01;0.8;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.2;0;0.05;0.8;0;75000;0.498765;0.498765;0;0;0.619036;0.789723;1.43127;0;0;8.6785;1.6463;0;0;0;0;-1.7667;0.040459;0.040459;0;0;0.00432683;0.00872695;39998;0;0;0.609451;0.403617;0;0;0;0;0.271299;0.515;0.835274;0.823244;0.0194224;0.0204716;0.119052;0.160088;0.307977;0.235786;0.21436;0.0861892;0.0603779;0.0406592;0.0439528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0140789;./sim_cue_integration_30_10_2019_235613_763568452
1;10;0;0.7;0;0;1;0;-1;0;0;0.01;0;0;0;0;1;0;0;652788535;0;0;0.02;0;0.01;0.01;0.01;0.8;0;0;0.25;0.9;1;0;0;-10;8;0;0;0.01;3;0;0;0.25;0.01;0.1;0;0.05;0.8;0;75000;0.531553;0.531553;0;0;0.658673;0.899033;1.59106;0;0;8.68445;1.55049;0;0;0;0;-1.81564;0.0487603;0.0487603;0;0;0.00598509;0.00828594;39997.5;0;0;0.671124;0.375874;0;0;0;0;0.266862;0.56;0.830689;0.863807;0.0229308;0.0181212;0.140245;0.206638;0.389573;0.275913;0.303465;0.117783;0.0917527;0.0549447;0.0773027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0196283;./sim_cue_integration_30_10_2019_235613_548804866
