sigmoidal_survival;laplace;p;qmat;qjuv;nloci_g;init_g;init_amat;init_ajuv;init_agen;init_bmat_phen;init_bmat_envt;gmin;gmax;amin;amax;bmin;bmax;sdmat;mu_g;sdmu_g;mu_amat;mu_ajuv;mu_agen;mu_bmat_phen;mu_bmat_envt;sdmu_a;sdmu_b;m;survival_scalar0;survival_scalar1;seed;generation;mean_ad_phen;mean_agen;mean_ajuv;mean_amat;mean_bmat_phen;mean_bmat_envt;mean_g;var_ad_phen;var_agen;var_ajuv;var_amat;var_bmat_phen;var_bmat_envt;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;1;0.5;0.5;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1300961781;49990;0.504872;0.0392503;0.0464844;0.0581772;-1.68345;0.558456;-0.818154;2551.23;24.7122;30.8308;40000;40946.3;52492.9;8419.95;0.495;0.795541;0.80379;0.000166737;0.000155136;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1291610436
0;1;1;1;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;758436084;49990;0.986751;1.55659;0.446159;0.891216;0.998795;3.16722;2.25363;9737.26;24328.6;2110.45;39999.2;39624.9;116559;18474.4;1;-nan;0.999742;-nan;9.61702e-07;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193315_744710592
0;1;0.6;1;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1001553910;49990;0.506317;0.0410497;0.0411557;0.0543518;-1.18087;1.1613;-0.552299;2565.55;27.9957;25.0284;40000;32591.8;31113.8;7232;0.4725;0.794484;0.804881;0.000150806;0.000144665;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180312_990258704
0;1;0.6;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1084654545;49990;0.509886;0.112934;0.39559;0.041477;2.66694;-0.290805;-1.59505;2630.51;141.486;1606.56;40000;80315;27075.5;11931.3;0.4975;0.79482;0.81049;0.0020571;0.00189764;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193345_1073919908
0;1;0.7;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;841453529;49990;0.504493;0.0704109;0.0413536;0.0498718;3.74085;-2.6164;-0.394104;2548.52;63.3993;31.1208;40000;153886;82579.2;7240.28;0.48;0.796138;0.803364;0.000244437;0.000224486;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193359_851303099
0;1;0.4;0.5;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1300223356;49990;0.504257;0.0390154;0.0228595;0.0450568;0.162475;-1.06946;-0.427322;2544.08;24.5318;8.32949;40000;24943.5;41014.2;8611.55;0.45;0.796435;0.80344;0.000103074;9.85101e-05;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1285215761
0;1;0.5;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1295134304;49990;0.507265;0.046402;0.0493698;0.0397975;-0.164895;2.85048;-0.34965;2575.04;28.9604;32.8989;40000;16036.2;132875;7587.27;0.4575;0.793751;0.805439;0.000141282;0.000128551;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193344_1279029459
0;1;0.2;1;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;928227079;49990;0.509208;0.226821;0.0371083;0.970385;-1.73528;4.63425;-2.10708;2727.03;523.842;24.5783;39999.1;49349.6;223388;16495.3;0.5025;0.814291;0.820175;0.00786145;0.00765008;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193245_913990034
0;1;0.4;0.5;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1818569595;49990;0.503624;0.0390668;0.018355;0.0394778;1.72043;-0.284467;-0.383989;2537.74;24.8853;7.26677;40000;40989.7;26582.9;7423.43;0.5125;0.7967;0.802338;0.000104179;0.00010335;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193644_1808885498
0;1;0.1;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;983243390;49990;0.505945;0.0386227;0.0385324;0.0345931;0.522531;0.716213;-0.32058;2561.22;24.5228;24.7228;40000;18848.4;27440.9;6816.49;0.4925;0.794857;0.804596;0.000107976;0.000105853;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193245_970203378
