qjuv;sdmat;mu_vp;nph;init_asoc_horiz;mu_hc;mu_ajuv;sdmu_g;npv;init_ajuv;sdmu_a;mu_asoc_horiz;sdsoc_vert;gmax;mu_amat;mu_asoc_vert;laplace;init_bmat_phen;ncv;amax;sdmu_b;survival_scalar1;nch;mu_bmat_envt;mu_vc;juvenile_survival;init_hp;bmax;init_bmat_envt;mu_agen;seed;init_amat;mu_bmat_phen;sdsoc_horiz;init_hc;qmat;init_g;mu_g;init_vc;init_asoc_vert;bmin;mu_hp;gmin;sigmoidal_survival;init_vp;p;survival_scalar0;nloci_g;m;init_agen;amin;generation;mean_phen_ad;mean_phen_juv;mean_phen_prestige_vert;mean_phen_prestige_horiz;mean_agen;mean_ajuv;mean_amat;mean_asoc_vert;mean_asoc_horiz;mean_bmat_phen;mean_bmat_envt;mean_hc;mean_hp;mean_vc;mean_vp;mean_g;var_phen_ad;var_phen_juv;var_phen_prestige_vert;var_phen_prestige_horiz;var_agen;var_ajuv;var_amat;var_asoc_vert;var_asoc_horiz;var_bmat_phen;var_bmat_envt;var_hc;var_hp;var_vc;var_vp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;var_component_gen;var_component_ajuv;var_component_amat;var_component_amat_envt;var_component_amat_phen;cov_amat_phen_amat_envt;cov_amat_ajuv;cov_amat_envt_ajuv;cov_amat_phen_ajuv;var_component_asoc_vert;var_component_asoc_vert_p;var_component_asoc_vert_c;var_component_asoc_horiz;var_component_asoc_horiz_p;var_component_asoc_horiz_c;cov_amat_asoc_vert;cov_amat_asoc_vert_c;cov_amat_asoc_vert_p;cov_amat_asoc_horiz;cov_amat_asoc_horiz_c;cov_amat_asoc_horiz_p;cov_amat_envt_asoc_vert;cov_amat_envt_asoc_vert_c;cov_amat_envt_asoc_vert_p;cov_amat_envt_asoc_horiz;cov_amat_envt_asoc_horiz_c;cov_amat_envt_asoc_horiz_p;cov_amat_phen_asoc_vert;cov_amat_phen_asoc_vert_c;cov_amat_phen_asoc_vert_p;cov_amat_phen_asoc_horiz;cov_amat_phen_asoc_horiz_c;cov_amat_phen_asoc_horiz_p;cov_ajuv_asoc_vert;cov_ajuv_asoc_vert_c;cov_ajuv_asoc_vert_p;cov_ajuv_asoc_horiz;cov_ajuv_asoc_horiz_c;cov_ajuv_asoc_horiz_p;cov_agen_asoc_vert;cov_agen_asoc_vert_c;cov_agen_asoc_vert_p;cov_agen_asoc_horiz;cov_agen_asoc_horiz_c;cov_agen_asoc_horiz_p;cov_asoc_horiz_vert;cov_asoc_horiz_vert_c;cov_asoc_horiz_vert_p;cov_asoc_horiz_c_vert;cov_asoc_horiz_p_vert;cov_agen_ajuv;file
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;1;0;10;0;0.01;1621527930;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.724;0.8;3;0.1;0;0;75000;0.489831;0.489831;0.497226;0.488933;0.561436;2.28604;0.0820367;0;0;-2.7521;0.649069;0;0;0;0;-2.05398;0.0696103;0.0696103;0.0845155;0.0952771;0.0023834;0.00662183;37271;0;0;5.741;3.26212;0;0;0;0;0.167537;0.53;0.841423;0.853483;0.0351762;0.0319808;0.0630002;1.30587;0.00150135;0.00151994;0.00101018;0.000493101;-1.25886e-06;0.00519166;-0.00701916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0316882;./sim_cue_integration_8_12_2019_174340_1649622019
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;0;0;10;0;0.01;2001134439;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.138;0.8;3;0.1;0;0;75000;0.520027;0.520027;0.50367;0.519361;0.402705;0.033051;1.48808;0;0;-0.173929;7.75773;0;0;0;0;-1.75335;0.030437;0.030437;0.042786;0.0217037;0.00350963;0.000588939;39997.8;0;0;3.86593;2.07824;0;0;0;0;0.240396;0.515;0.835028;0.839924;0.0157097;0.0150802;0.0508231;0.000564572;0.514542;0.514605;0.024008;0.0115563;-0.00778294;-0.00778332;-0.000119289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000109671;./sim_cue_integration_8_12_2019_174340_2026471786
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;0;0;10;0;0.01;2040647442;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.172;0.8;3;0.1;0;0;75000;0.51628;0.51628;0.521365;0.512288;0.321472;0.0291744;1.20293;0;0;-4.51327;7.37843;0;0;0;0;-1.68134;0.0207334;0.0207334;0.0291736;0.0157546;0.0028639;0.000645704;39998.6;0;0;2.97855;2.3721;0;0;0;0;0.281665;0.5175;0.802515;0.846346;0.0132866;0.00973393;0.0376677;0.000519227;0.336587;0.336303;0.0429361;0.0634658;-0.00464546;-0.00464271;-0.000952672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.45635e-05;./sim_cue_integration_8_12_2019_174340_2062915711
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;1;0;10;0;0.01;2082248917;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.138;0.8;3;0.1;0;0;75000;0.511514;0.511514;0.505128;0.515288;0.0963294;0.208891;0.0589773;0;0;2.99371;-5.65051;0;0;0;0;-0.98544;0.00168637;0.00168637;0.00110604;0.00391094;0.00198887;0.00516145;32801;0;0;5.28109;5.79893;0;0;0;0;0.499851;0.525;0.775267;0.789252;0.000992005;0.000705085;0.00756706;0.0137863;0.00150511;0.00150804;0.000408538;0.000380285;0.0019034;0.0019104;-1.40591e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000214249;./sim_cue_integration_8_12_2019_174340_2107772785
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;1;0;10;0;0.01;2133032392;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.034;0.8;3;0.1;0;0;75000;0.510378;0.510378;0.509693;0.510968;0.0510237;0.0775631;0.0631068;0;0;-7.53375;0.0556463;0;0;0;0;-0.47888;0.000376005;0.000376005;0.000330303;0.000956629;0.00112569;0.00202363;32305;0;0;2.13247;8.34304;0;0;0;0;0.605352;0.5475;0.783551;0.80249;0.00024791;0.000174675;0.00251938;0.00237965;0.00121543;0.00123844;0.000409032;0.000440852;-3.0284e-05;-4.15817e-05;3.44608e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62976e-05;./sim_cue_integration_8_12_2019_174340_2146549976
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;0;0;10;0;0.01;2143220371;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.034;0.8;3;0.1;0;0;75000;0.541908;0.541908;0.479766;0.537862;0.878877;0.0520508;3.65128;0;0;-3.69132;6.97639;0;0;0;0;-1.99053;0.118053;0.118053;0.150937;0.0878928;0.0049302;0.0012792;39986.7;0;0;6.83948;2.44218;0;0;0;0;0.17744;0.55;0.904745;0.911957;0.0348787;0.0329696;0.156716;0.00125999;3.05217;3.04512;1.13017;1.33251;-0.0383008;-0.0382549;-0.0164741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.0088e-06;./sim_cue_integration_8_12_2019_174340_2130133192
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;0;0;10;0;0.01;2048713519;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0;0.8;3;0.1;0;0;75000;0.468112;0.468112;0.553752;0.487523;1.4607;0.0761443;5.89655;0;0;-2.40717;7.50247;0;0;0;0;-1.91927;0.184293;0.184293;0.218034;0.148784;0.0124511;0.00250922;39965.2;0;0;6.55532;2.10588;0;0;0;0;0.199373;0.4475;0.9523;0.966485;0.026311;0.0192827;0.47429;0.00287722;7.95036;7.93867;2.53172;3.10396;-0.097625;-0.0975503;-0.0374578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.43216e-05;./sim_cue_integration_8_12_2019_174340_2022715576
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;1;0;10;0;0.01;2046789860;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.103;0.8;3;0.1;0;0;75000;0.50901;0.50901;0.506084;0.511586;0.0715443;0.0981015;0.0842196;0;0;-2.8342;-6.67828;0;0;0;0;-0.768399;0.00089227;0.00089227;0.00066972;0.00219928;0.00167361;0.00262122;32450;0;0;11.7247;7.92843;0;0;0;0;0.594684;0.5025;0.779891;0.79516;0.000555025;0.000379999;0.00502046;0.00368157;0.00274672;0.00274581;0.00067019;0.00070669;0.00134387;0.00134166;4.59725e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.23306e-07;./sim_cue_integration_8_12_2019_174340_2019206798
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;1;0;10;0;0.01;2037244290;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0;0.8;3;0.1;0;0;75000;0.506332;0.506332;0.504578;0.504489;0.0718115;0.0558171;0.0729574;0;0;-3.14295;7.24402;0;0;0;0;-0.552095;0.000404814;0.000404814;0.000777125;0.000668777;0.00171401;0.00131884;32002;0;0;10.843;3.3844;0;0;0;0;0.620858;0.515;0.795745;0.805048;0.000246325;0.000260421;0.00480944;0.00144286;0.0022154;0.00221549;0.000494967;0.000537515;-0.000877892;-0.000877861;-1.30286e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.33985e-05;./sim_cue_integration_8_12_2019_174340_2010069167
1;0.05;0;5;0;0;0.01;0.25;5;0;0.02;0;0.05;1;0.01;0;1;0;5;8;0.25;0;5;0.01;0;0;0;10;0;0.01;2020457076;0;0.01;0.05;0;1;0;0.01;0;0;-10;0;-1;0;0;0.103;0.8;3;0.1;0;0;75000;0.51082;0.51082;0.515655;0.511515;0.511066;0.0311252;1.99877;0;0;-4.9031;7.65892;0;0;0;0;-1.88347;0.0499223;0.0499223;0.0675087;0.0371754;0.00356848;0.000688241;39996;0;0;3.38245;1.98554;0;0;0;0;0.206993;0.4925;0.843049;0.861791;0.0245313;0.0212778;0.0673601;0.000590382;0.925653;0.924992;0.257952;0.328015;-0.0100857;-0.0100795;-0.00386155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000129089;./sim_cue_integration_8_12_2019_174340_2007452133
