amin;amax;mu_amat;gmax;mu_g;gmin;mu_ajuv;init_dp;sigmoidal_survival;nc;m;mu_agen;init_bmat_phen;init_g;laplace;mu_dp;p;init_dc;mu_asoc;seed;sdsoc;init_ajuv;bmax;init_asoc;qmat;qjuv;sdmu_a;sdmat;nloci_g;mu_dc;init_amat;init_agen;init_bmat_envt;survival_scalar1;sdmu_b;bmin;mu_bmat_phen;np;survival_scalar0;sdmu_g;mu_bmat_envt;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0;0;0.01;1942674947;0.05;0;10;0;1;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.975945;0.0192075;2.10133;0.131365;5.36388;3.21366;-5.48019;6.93884;-1.62481;-7.92478;-1.91161;9531.55;7.63774;44369.7;236.865;39971.2;103574;362395;512221;121067;642284;14444.5;1;0.996175;-nan;0.000231547;-nan;./sim_cue_integration_18_8_2019_110413_1964807350
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.25;0;0.01;1966748100;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.522505;0.517591;0.266878;0.0708121;0.454972;0.474731;-1.76323;8.1419;1.13488;-8.30739;-1.38308;2806.39;2771.87;760.752;71.2374;39999.8;2382.77;166373;686855;112138;703807;10648.7;0.4825;0.796699;0.819475;0.00494302;0.00433431;./sim_cue_integration_18_8_2019_110413_1983609674
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;1972248895;0.05;0;10;0;0.5;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.513284;0.512461;0.0883829;0.0200791;0.0820961;0.146292;4.79172;-2.00841;-1.10135;-8.20057;-0.644589;2642.52;2633.42;105.548;7.6402;40000;290.178;322956;180464;97874.4;683850;7959.99;0.5275;0.78645;0.807644;0.000528378;0.000508005;./sim_cue_integration_18_8_2019_110413_1997733402
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;1982398683;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.499875;0.522816;0.815243;0.0748838;2.14307;1.23233;-1.11262;6.92132;0.206956;-8.04243;-1.95276;3480.05;3894.76;6712.93;81.7281;39995.4;15378.8;75546.4;503331;176093;663511;14905.9;0.46;0.895286;0.894372;0.030784;0.0324068;./sim_cue_integration_18_8_2019_110413_2001033858
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;1988828398;0.05;0;10;0;0.5;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.518053;0.518982;0.176703;0.081758;0.0843915;0.539052;-2.87964;1.88037;1.35405;-8.76493;-1.22713;2709.15;2722.26;354.859;94.1694;40000;3040.63;157428;214675;164862;774708;9739.26;0.5175;0.786835;0.816582;0.00161145;0.00151912;./sim_cue_integration_18_8_2019_110413_2011172533
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;1990845057;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.499047;0.525027;0.804874;0.0283567;2.02856;1.39449;-8.19323;2.86124;-2.40512;-8.26391;-1.97191;3253.24;3551.22;6528.34;14.1714;39995.9;19630.4;681562;92339.2;94311.8;695364;14964.8;0.47;0.869388;0.885462;0.0287285;0.0256479;./sim_cue_integration_18_8_2019_110413_2013799939
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0;0;0.01;2004507882;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.980072;0.0391888;2.11712;0.154123;5.1728;3.59308;-4.34216;6.09552;3.08219;-8.08583;-1.89413;9611.1;46.0467;45084.8;350.632;39973.2;129741;246318;395096;305326;666155;14391.9;1;0.996075;-nan;0.000306551;-nan;./sim_cue_integration_18_8_2019_110413_2022776904
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;2003403817;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.517028;0.523049;0.378481;0.0801006;1.31061;0.110434;-0.654931;7.01394;5.13773;-5.68326;-1.65315;2941.2;2998.19;1470.66;91.6584;39998.3;164.844;96468.7;516643;345794;355718;12310.1;0.495;0.816651;0.847605;0.0152556;0.0123698;./sim_cue_integration_18_8_2019_110413_2027687151
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.2;0;0.01;2022989484;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.523918;0.512136;0.27583;0.0619851;0.899986;0.0949011;-5.19904;5.68716;-2.53462;-3.4396;-1.50029;2884.66;2757.57;801.557;56.76;39999.2;128.889;342337;356727;148627;167686;11498.2;0.5025;0.801759;0.823358;0.00850017;0.00757762;./sim_cue_integration_18_8_2019_110413_2039079727
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.25;0;0.01;2023690703;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.513636;0.520766;0.201418;0.0248901;0.386904;0.287408;-2.01847;7.09427;-0.192881;-7.93015;-1.27747;2681.37;2761.09;446.979;11.5857;39999.9;926.066;153173;536770;164831;642473;10126.3;0.5075;0.787541;0.818202;0.0029476;0.00253375;./sim_cue_integration_18_8_2019_110413_2041062009
